Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Kjevik;SN39040;18.03.2022 01:50;6
Kjevik;SN39040;18.03.2022 03:20;4
Kjevik;SN39040;18.03.2022 03:50;3
Kjevik;SN39040;18.03.2022 04:20;5
Kjevik;SN39040;18.03.2022 04:50;5
Kjevik;SN39040;18.03.2022 05:20;5
Kjevik;SN39040;18.03.2022 05:50;5
Kjevik;SN39040;18.03.2022 06:20;4
Kjevik;SN39040;18.03.2022 06:50;4
Kjevik;SN39040;18.03.2022 07:20;4
Kjevik;SN39040;18.03.2022 07:50;5
Kjevik;SN39040;18.03.2022 08:20;5
Kjevik;SN39040;18.03.2022 08:50;6
Kjevik;SN39040;18.03.2022 09:20;7
Kjevik;SN39040;18.03.2022 09:50;7
Kjevik;SN39040;18.03.2022 10:20;7
Kjevik;SN39040;18.03.2022 10:50;8
Kjevik;SN39040;18.03.2022 11:20;9
Kjevik;SN39040;18.03.2022 11:50;9
Kjevik;SN39040;18.03.2022 12:20;9
Kjevik;SN39040;18.03.2022 12:50;10
Kjevik;SN39040;18.03.2022 13:20;10
Kjevik;SN39040;18.03.2022 13:50;10
Kjevik;SN39040;18.03.2022 14:20;11
Kjevik;SN39040;18.03.2022 14:50;11
Kjevik;SN39040;18.03.2022 15:20;11
Kjevik;SN39040;18.03.2022 15:50;11
Kjevik;SN39040;18.03.2022 16:20;11
Kjevik;SN39040;18.03.2022 16:50;10
Kjevik;SN39040;18.03.2022 17:20;10
Kjevik;SN39040;18.03.2022 17:50;10
Kjevik;SN39040;18.03.2022 18:20;8
Kjevik;SN39040;18.03.2022 18:50;7
Kjevik;SN39040;18.03.2022 19:20;7
Kjevik;SN39040;18.03.2022 19:50;4
Kjevik;SN39040;18.03.2022 20:20;4
Kjevik;SN39040;18.03.2022 20:50;1
Kjevik;SN39040;18.03.2022 21:20;1
Kjevik;SN39040;18.03.2022 21:50;1
Kjevik;SN39040;18.03.2022 22:20;-1
Kjevik;SN39040;18.03.2022 22:50;-1
Kjevik;SN39040;18.03.2022 23:20;-1
Kjevik;SN39040;18.03.2022 23:50;-1
Kjevik;SN39040;19.03.2022 00:20;-1
Kjevik;SN39040;19.03.2022 00:50;-1
Kjevik;SN39040;19.03.2022 01:20;-2
Kjevik;SN39040;19.03.2022 01:50;-2
Kjevik;SN39040;19.03.2022 02:20;-1
Kjevik;SN39040;19.03.2022 02:50;-2
Kjevik;SN39040;19.03.2022 03:20;-2
Kjevik;SN39040;19.03.2022 03:50;-2
Kjevik;SN39040;19.03.2022 04:20;-2
Kjevik;SN39040;19.03.2022 04:50;-3
Kjevik;SN39040;19.03.2022 05:20;-2
Kjevik;SN39040;19.03.2022 05:50;-2
Kjevik;SN39040;19.03.2022 06:20;0
Kjevik;SN39040;19.03.2022 06:50;-1
Kjevik;SN39040;19.03.2022 07:20;0
Kjevik;SN39040;19.03.2022 07:50;1
Kjevik;SN39040;19.03.2022 08:20;2
Kjevik;SN39040;19.03.2022 08:50;2
Kjevik;SN39040;19.03.2022 09:20;4
Kjevik;SN39040;19.03.2022 09:50;6
Kjevik;SN39040;19.03.2022 10:20;7
Kjevik;SN39040;19.03.2022 10:50;7
Kjevik;SN39040;19.03.2022 11:20;9
Kjevik;SN39040;19.03.2022 11:50;9
Kjevik;SN39040;19.03.2022 12:20;10
Kjevik;SN39040;19.03.2022 12:50;9
Kjevik;SN39040;19.03.2022 13:20;9
Kjevik;SN39040;19.03.2022 13:50;9
Kjevik;SN39040;19.03.2022 14:20;9
Kjevik;SN39040;19.03.2022 14:50;9
Kjevik;SN39040;19.03.2022 15:20;9
Kjevik;SN39040;19.03.2022 15:50;9
Kjevik;SN39040;19.03.2022 16:20;9
Kjevik;SN39040;19.03.2022 16:50;8
Kjevik;SN39040;19.03.2022 17:20;8
Kjevik;SN39040;19.03.2022 17:50;7
Kjevik;SN39040;19.03.2022 18:20;6
Kjevik;SN39040;19.03.2022 18:50;5
Kjevik;SN39040;19.03.2022 19:20;4
Kjevik;SN39040;19.03.2022 19:50;2
Kjevik;SN39040;19.03.2022 20:20;1
Kjevik;SN39040;19.03.2022 20:50;1
Kjevik;SN39040;19.03.2022 21:20;1
Kjevik;SN39040;19.03.2022 21:50;1
Kjevik;SN39040;19.03.2022 22:20;1
Kjevik;SN39040;19.03.2022 22:50;0
Kjevik;SN39040;19.03.2022 23:20;-1
Kjevik;SN39040;19.03.2022 23:50;-1
Kjevik;SN39040;20.03.2022 00:20;-1
Kjevik;SN39040;20.03.2022 00:50;-1
Kjevik;SN39040;20.03.2022 01:20;-1
Kjevik;SN39040;20.03.2022 01:50;-1
Kjevik;SN39040;20.03.2022 02:20;-1
Kjevik;SN39040;20.03.2022 02:50;-2
Kjevik;SN39040;20.03.2022 03:20;-2
Kjevik;SN39040;20.03.2022 03:50;-2
Kjevik;SN39040;20.03.2022 04:20;-2
Kjevik;SN39040;20.03.2022 04:50;-2
Kjevik;SN39040;20.03.2022 05:20;-3
Kjevik;SN39040;20.03.2022 05:50;-3
Kjevik;SN39040;20.03.2022 06:20;-2
